Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Player Profile URL,Nationality
Fazalhaq Farooqi (MIE),2025-2025,11,11,249,41.3,-,314,21,5/16,14.95,7.56,11.85,1,1,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,Afghanistan
JO Holder (ADKR),2025-2025,10,10,233,38.5,1,304,17,4/23,17.88,7.82,13.7,1,-,https://www.espncricinfo.com/cricketers/jason-holder-391485,West Indies
B Muzarabani (GG),2025-2025,10,10,232,38.4,1,257,16,3/25,16.06,6.64,14.5,-,-,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,Zimbabwe
AS Joseph (MIE),2025-2025,10,10,230,38.2,1,337,16,3/17,21.06,8.79,14.37,-,-,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,West Indies
Mohammad Amir (DV),2025-2025,11,11,234,39.0,-,324,14,4/24,23.14,8.3,16.71,1,-,https://www.espncricinfo.com/cricketers/mohammad-amir-290948,Pakistan
AF Milne (SW),2025-2025,12,12,262,43.4,-,350,14,3/33,25.0,8.01,18.71,-,-,https://www.espncricinfo.com/cricketers/adam-milne-450860,New Zealand
MR Adair (GG),2025-2025,10,10,222,37.0,2,253,13,2/12,19.46,6.83,17.07,-,-,https://www.espncricinfo.com/cricketers/mark-adair-526441,Ireland
PVD Chameera (DC),2025-2025,9,9,196,32.4,-,285,13,3/26,21.92,8.72,15.07,-,-,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,Sri Lanka
OC McCoy (DC),2025-2025,11,11,235,39.1,-,358,13,3/22,27.53,9.14,18.07,-,-,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,West Indies
PW Hasaranga (DV),2025-2025,9,9,204,34.0,-,200,12,3/10,16.66,5.88,17.0,-,-,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,Sri Lanka
LH Ferguson (DV),2025-2025,8,8,167,27.5,-,200,11,3/22,18.18,7.18,15.18,-,-,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,New Zealand
Gulbadin Naib (DC),2025-2025,12,11,139,23.1,-,203,11,3/13,18.45,8.76,12.63,-,-,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,Afghanistan
Aayan Afzal Khan (GG),2025-2025,10,7,102,17.0,-,105,10,4/16,10.5,6.17,10.2,1,-,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,U.A.E.
Muhammad Rohid (MIE),2025-2025,5,5,114,19.0,-,140,10,3/24,14.0,7.36,11.4,-,-,https://www.espncricinfo.com/cricketers/muhammad-rohid-1410354,U.A.E.
DA Payne (DV),2025-2025,8,8,192,32.0,1,241,10,2/28,24.1,7.53,19.2,-,-,https://www.espncricinfo.com/cricketers/david-payne-362710,England
TG Southee (SW),2025-2025,12,12,260,43.2,-,377,10,3/30,37.7,8.7,26.0,-,-,https://www.espncricinfo.com/cricketers/tim-southee-232364,New Zealand
DJ Willey (ADKR),2025-2025,10,10,228,38.0,-,241,8,3/19,30.12,6.34,28.5,-,-,https://www.espncricinfo.com/cricketers/david-willey-308251,England
Khuzaima Tanveer (DV),2025-2025,7,7,129,21.3,-,180,7,4/22,25.71,8.37,18.42,1,-,https://www.espncricinfo.com/cricketers/khuzaima-tanveer-1460551,U.A.E.
D Madushanka (SW),2025-2025,7,7,142,23.4,-,241,7,2/49,34.42,10.18,20.28,-,-,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,Sri Lanka
Sikandar Raza (DC),2025-2025,12,12,210,35.0,-,275,7,2/24,39.28,7.85,30.0,-,-,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,Zimbabwe
SM Curran (DV),2025-2025,13,13,270,45.0,-,380,7,3/28,54.28,8.44,38.57,-,-,https://www.espncricinfo.com/cricketers/sam-curran-662973,England
Qais Ahmad (DC),2025-2025,4,4,90,15.0,-,121,6,4/25,20.16,8.06,15.0,1,-,https://www.espncricinfo.com/cricketers/qais-ahmad-914171,Afghanistan
KR Mayers (ADKR),2025-2025,10,7,93,15.3,-,131,6,3/25,21.83,8.45,15.5,-,-,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,West Indies
