Player,Inns_batting,NO,Runs_batting,HS,Ave_batting,BF,SR_batting,100,50,0,4s,6s,Inns_bowling,Balls,Overs,Mdns,Runs_bowling,Wkts,BBI,Ave_bowling,Econ,SR_bowling,4,5,Team,Nationality,Matches
A Lyth ,4.0,0,46,32,11.50,41.0,112.19,0,0,0,6.0,1.0,,,,,,,,,,,,,GG,England,4.0
A Sharafu ,9.0,2,220,55,31.42,170.0,129.41,0,1,0,24.0,5.0,,,,,,,,,,,,,ADKR,U.A.E.,10.0
A Zampa ,,,,,,,,,,,,,5.0,114.0,19.0,0,144.0,6.0,3/27,24.0,7.57,19.0,0,0,SW,Australia,5.0
AC Agar ,4.0,3,51,23*,51.00,33.0,154.54,0,0,0,1.0,5.0,7.0,132.0,22.0,0,170.0,3.0,1/14,56.66,7.72,44.0,0,0,SW,Australia,7.0
AD Hales ,13.0,2,405,77*,36.81,293.0,138.22,0,3,0,43.0,18.0,,,,,,,,,,,,,DV,England,13.0
AD Russell ,10.0,3,130,37*,18.57,83.0,156.62,0,0,1,7.0,12.0,3.0,42.0,7.0,0,80.0,2.0,1/15,40.0,11.42,21.0,0,0,ADKR,West Indies,10.0
ADS Fletcher ,5.0,1,138,96*,34.50,108.0,127.77,0,1,2,15.0,3.0,,,,,,,,,,,,,MIE,West Indies,5.0
AF Milne ,4.0,3,14,8*,14.00,16.0,87.50,0,0,0,0.0,1.0,12.0,262.0,43.4,0,350.0,14.0,3/33,25.0,8.01,18.71,0,0,SW,New Zealand,12.0
AGS Gous ,7.0,0,184,78,26.28,135.0,136.29,0,1,1,18.0,9.0,,,,,,,,,,,,,ADKR,U.S.A.,7.0
AJ Hose ,3.0,1,19,12*,9.50,25.0,76.00,0,0,0,0.0,0.0,,,,,,,,,,,,,DV,England,4.0
AJ Hosein ,7.0,5,75,30,37.50,70.0,107.14,0,0,0,1.0,4.0,10.0,179.0,29.5,1,232.0,2.0,1/24,116.0,7.77,89.5,0,0,MIE,West Indies,10.0
AM Ghazanfar ,1.0,1,0,0*,0,5.0,0,0,0,0,0.0,0.0,3.0,43.0,7.1,0,68.0,1.0,1/24,68.0,9.48,43.0,0,0,MIE,Afghanistan,3.0
AM Rossington ,5.0,0,138,44,27.60,101.0,136.63,0,0,0,17.0,5.0,,,,,,,,,,,,,DC,England,5.0
AS Joseph ,3.0,1,3,3*,1.50,6.0,50.00,0,0,2,0.0,0.0,10.0,230.0,38.2,1,337.0,16.0,3/17,21.06,8.79,14.37,0,0,MIE,West Indies,10.0
AU Rashid ,2.0,1,13,9*,13.00,13.0,100.00,0,0,0,0.0,1.0,3.0,72.0,12.0,0,80.0,3.0,2/14,26.66,6.66,24.0,0,0,SW,England,3.0
Aayan Afzal Khan ,5.0,3,43,15,21.50,45.0,95.55,0,0,0,1.0,2.0,7.0,102.0,17.0,0,105.0,10.0,4/16,10.5,6.17,10.2,1,0,GG,U.A.E.,10.0
Ali Khan ,,,,,,,,,,,,,6.0,106.0,17.4,0,205.0,4.0,2/23,51.25,11.6,26.5,0,0,ADKR,U.S.A.,6.0
Ali Naseer ,2.0,0,7,5,3.50,13.0,53.84,0,0,0,0.0,0.0,,,,,,,,,,,,,DV,U.A.E.,7.0
Azam Khan ,8.0,0,83,27,10.37,57.0,145.61,0,0,0,6.0,4.0,,,,,,,,,,,,,DV,Pakistan,10.0
B McMullen ,4.0,0,109,58,27.25,86.0,126.74,0,1,0,9.0,4.0,,,,,,,,,,,,,DC,Scotland,4.0
B Muzarabani ,,,,,,,,,,,,,10.0,232.0,38.4,1,257.0,16.0,3/25,16.06,6.64,14.5,0,0,GG,Zimbabwe,10.0
BJ Jacobs ,3.0,1,26,18,13.00,27.0,96.29,0,0,0,2.0,1.0,,,,,,,,,,,,,MIE,New Zealand,3.0
BR Dunk ,5.0,0,82,28,16.40,69.0,118.84,0,0,0,9.0,3.0,,,,,,,,,,,,,DC,Australia,5.0
CJ Jordan ,2.0,1,11,10*,11.00,6.0,183.33,0,0,0,2.0,0.0,3.0,55.0,9.1,0,79.0,4.0,2/20,19.75,8.61,13.75,0,0,GG,England,3.0
D Madushanka ,,,,,,,,,,,,,7.0,142.0,23.4,0,241.0,7.0,2/49,34.42,10.18,20.28,0,0,SW,Sri Lanka,7.0
D Parashar ,1.0,0,5,5,5.00,11.0,45.45,0,0,0,0.0,0.0,4.0,34.0,5.4,0,40.0,1.0,1/9,40.0,7.05,34.0,0,0,DV,U.A.E.,6.0
DA Payne ,1.0,0,9,9,9.00,8.0,112.50,0,0,0,0.0,1.0,8.0,192.0,32.0,1,241.0,10.0,2/28,24.1,7.53,19.2,0,0,DV,England,8.0
DA Warner ,2.0,1,97,93*,97.00,62.0,156.45,0,1,0,13.0,1.0,,,,,,,,,,,,,DC,Australia,2.0
DC Drakes ,1.0,1,1,1*,0,1.0,100.00,0,0,0,0.0,0.0,2.0,46.0,7.4,0,78.0,1.0,1/40,78.0,10.17,46.0,0,0,GG,West Indies,2.0
DJ Willey ,6.0,2,59,41,14.75,53.0,111.32,0,0,0,1.0,5.0,10.0,228.0,38.0,0,241.0,8.0,3/19,30.12,6.34,28.5,0,0,ADKR,England,10.0
DJ Worrall ,,,,,,,,,,,,,6.0,132.0,22.0,1,171.0,5.0,2/19,34.2,7.77,26.4,0,0,GG,Australia,6.0
DR Mousley ,4.0,0,43,17,10.75,56.0,76.78,0,0,0,2.0,1.0,4.0,60.0,10.0,0,75.0,5.0,2/8,15.0,7.5,12.0,0,0,MIE,England,6.0
