Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player Profile URL,Nationality
SD Hope (DC),2025-2025,12,12,3,527,101,58.55,424,124.29,1,3,-,43,17,https://www.espncricinfo.com/cricketers/shai-hope-581379,West Indies
T Banton (MIE),2025-2025,11,11,2,493,105,54.77,325,151.69,2,3,-,49,21,https://www.espncricinfo.com/cricketers/tom-banton-877051,England
AD Hales (DV),2025-2025,13,13,2,405,77*,36.81,293,138.22,-,3,-,43,18,https://www.espncricinfo.com/cricketers/alex-hales-249866,England
T Kohler-Cadmore (SW),2025-2025,10,10,3,388,91*,55.42,279,139.06,-,3,1,36,18,https://www.espncricinfo.com/cricketers/tom-kohler-cadmore-470633,England
SM Curran (DV),2025-2025,13,12,5,387,62*,55.28,288,134.37,-,3,-,27,15,https://www.espncricinfo.com/cricketers/sam-curran-662973,England
Gulbadin Naib (DC),2025-2025,12,12,3,381,80,42.33,240,158.75,-,4,-,26,19,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,Afghanistan
J Charles (SW),2025-2025,12,12,-,357,71,29.75,214,166.82,-,3,-,34,25,https://www.espncricinfo.com/cricketers/johnson-charles-333066,West Indies
N Pooran (MIE),2025-2025,11,10,2,301,61,37.62,188,160.10,-,3,-,25,17,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,West Indies
JJ Roy (SW),2025-2025,12,11,1,298,73,29.80,256,116.40,-,2,1,31,5,https://www.espncricinfo.com/cricketers/jason-roy-298438,England
DW Lawrence (DV),2025-2025,13,12,1,281,70,25.54,196,143.36,-,1,2,22,11,https://www.espncricinfo.com/cricketers/dan-lawrence-641423,England
JM Vince (GG),2025-2025,10,10,1,260,86,28.88,188,138.29,-,2,-,32,3,https://www.espncricinfo.com/cricketers/james-vince-296597,England
MDE Holden (DV),2025-2025,4,4,1,230,76,76.66,165,139.39,-,2,-,30,1,https://www.espncricinfo.com/cricketers/max-holden-641387,England
KR Mayers (ADKR),2025-2025,10,10,-,230,56,23.00,168,136.90,-,1,-,20,13,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,West Indies
Fakhar Zaman (DV),2025-2025,9,9,1,222,71*,27.75,165,134.54,-,2,-,20,12,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,Pakistan
A Sharafu (ADKR),2025-2025,10,9,2,220,55,31.42,170,129.41,-,1,-,24,5,https://www.espncricinfo.com/cricketers/alishan-sharafu-1161038,U.A.E.
MG Erasmus (GG),2025-2025,8,8,1,213,50*,30.42,189,112.69,-,1,-,19,7,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,Namibia
R Powell (DC),2025-2025,12,8,2,202,63,33.66,139,145.32,-,1,-,15,12,https://www.espncricinfo.com/cricketers/rovman-powell-820351,West Indies
MDKJ Perera (MIE),2025-2025,11,10,1,192,56*,21.33,158,121.51,-,1,-,23,4,https://www.espncricinfo.com/cricketers/kusal-perera-300631,Sri Lanka
JM Cox (GG),2025-2025,10,10,-,186,70,18.60,163,114.11,-,1,1,16,3,https://www.espncricinfo.com/cricketers/jordan-cox-1112537,
AGS Gous (ADKR),2025-2025,7,7,-,184,78,26.28,135,136.29,-,1,1,18,9,https://www.espncricinfo.com/cricketers/andries-gous-485379,U.S.A.
Muhammad Waseem (MIE),2025-2025,10,10,-,183,38,18.30,138,132.60,-,-,1,14,13,https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277,U.A.E.
KA Pollard (MIE),2025-2025,8,6,2,182,69*,45.50,140,130.00,-,1,-,12,11,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,West Indies
SO Hetmyer (GG),2025-2025,10,10,3,181,41*,25.85,135,134.07,-,-,-,15,7,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,West Indies
JM Clarke (ADKR),2025-2025,8,8,-,172,55,21.50,141,121.98,-,1,-,20,1,https://www.espncricinfo.com/cricketers/joe-clarke-571911,England
Sikandar Raza (DC),2025-2025,12,9,3,165,34*,27.50,122,135.24,-,-,-,13,4,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,Zimbabwe
MD Shanaka (DC),2025-2025,12,10,4,164,34*,27.33,81,202.46,-,-,1,13,11,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,Sri Lanka
TK Curran (GG),2025-2025,5,5,3,157,64*,78.50,111,141.44,-,1,-,16,4,https://www.espncricinfo.com/cricketers/tom-curran-550235,England
ADS Fletcher (MIE),2025-2025,5,5,1,138,96*,34.50,108,127.77,-,1,2,15,3,https://www.espncricinfo.com/cricketers/andre-fletcher-51862,West Indies
AM Rossington (DC),2025-2025,5,5,-,138,44,27.60,101,136.63,-,-,-,17,5,https://www.espncricinfo.com/cricketers/adam-rossington-457280,England
TP Alsop (GG),2025-2025,4,4,1,136,85*,45.33,125,108.80,-,1,-,12,2,https://www.espncricinfo.com/cricketers/tom-alsop-602155,England
WIA Fernando (SW),2025-2025,6,6,1,131,81,26.20,63,207.93,-,1,1,10,12,https://www.espncricinfo.com/cricketers/avishka-fernando-784369,Sri Lanka
AD Russell (ADKR),2025-2025,10,10,3,130,37*,18.57,83,156.62,-,-,1,7,12,https://www.espncricinfo.com/cricketers/andre-russell-276298,West Indies
JO Holder (ADKR),2025-2025,10,8,3,126,27,25.20,70,180.00,-,-,-,8,9,https://www.espncricinfo.com/cricketers/jason-holder-391485,West Indies
